Folder, Filename, Result, ExitCode, Time, Memory
t6, f181, Realizable, 0, 0.00, 0.01
t6, f182, Unrealizable, 0, 2.43, 0.51
t6, f183, Realizable, 0, 0.00, 0.01
t6, f184, Realizable, 0, 0.00, 0.01
t6, f185, Unrealizable, 0, 0.00, 0.01
t6, f186, Realizable, 0, 0.00, 0.01
t6, f187, Realizable, 0, 0.00, 0.01
t6, f188, Realizable, 0, 0.00, 0.01
t6, f189, Stopped, 124, 30.00, 0.43
t6, f190, Unrealizable, 0, 1.42, 0.10
t6, f191, Stopped, 124, 30.00, 0.92
t6, f192, Realizable, 0, 0.00, 0.02
t6, f193, Realizable, 0, 0.00, 0.01
t6, f194, Realizable, 0, 0.00, 0.01
t6, f195, Unrealizable, 0, 0.01, 0.02
t6, f196, Realizable, 0, 0.08, 0.14
t6, f197, Realizable, 0, 0.00, 0.01
t6, f198, Unrealizable, 0, 0.70, 0.59
t6, f199, Stopped, 124, 30.00, 0.47
t6, f200, Realizable, 0, 0.00, 0.02
t7, f1, Realizable, 0, 0.00, 0.01
t7, f2, Realizable, 0, 0.00, 0.01
t7, f3, Realizable, 0, 0.00, 0.02
t7, f4, Realizable, 0, 0.00, 0.01
t7, f5, Unrealizable, 0, 0.04, 0.15
t7, f6, Realizable, 0, 0.00, 0.01
t7, f7, Realizable, 0, 0.00, 0.01
t7, f8, Stopped, 124, 30.00, 0.31
t7, f9, Stopped, 124, 30.00, 0.38
t7, f10, Unrealizable, 0, 0.01, 0.01
t7, f11, Realizable, 0, 0.00, 0.01
t7, f12, Realizable, 0, 0.00, 0.01
t7, f13, Realizable, 0, 0.00, 0.02
t7, f14, Realizable, 0, 0.00, 0.02
t7, f15, Realizable, 0, 0.00, 0.02
t7, f16, Realizable, 0, 0.00, 0.02
t7, f17, Realizable, 0, 0.01, 0.07
t7, f18, Unrealizable, 0, 0.00, 0.01
t7, f19, Unrealizable, 0, 0.02, 0.15
t7, f20, Realizable, 0, 0.00, 0.01
t7, f21, Stopped, 124, 30.00, 0.83
t7, f22, Realizable, 0, 0.00, 0.01
t7, f23, Realizable, 0, 0.00, 0.01
t7, f24, Realizable, 0, 0.00, 0.02
t7, f25, Realizable, 0, 0.00, 0.01
t7, f26, Stopped, 124, 30.00, 0.25
t7, f27, Unrealizable, 0, 0.01, 0.02
t7, f28, Realizable, 0, 0.00, 0.01
t7, f29, Realizable, 0, 0.00, 0.01
t7, f30, Realizable, 0, 0.00, 0.01
t7, f31, Realizable, 0, 0.00, 0.01
t7, f32, Realizable, 0, 0.00, 0.01
t7, f33, Realizable, 0, 0.00, 0.01
t7, f34, Realizable, 0, 0.00, 0.01
t7, f35, Realizable, 0, 0.00, 0.01
t7, f36, Realizable, 0, 0.00, 0.01
t7, f37, Realizable, 0, 0.00, 0.01
t7, f38, Stopped, 124, 30.00, 1.13
t7, f39, Realizable, 0, 0.17, 0.15
t7, f40, Realizable, 0, 0.00, 0.02
t7, f41, Realizable, 0, 0.00, 0.01
t7, f42, Stopped, 124, 30.01, 1.92
