Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
syft_2, 073, Unrealizable, 0, 0.000, 0.056, 4.128, 0.358, 515
syft_2, 074, Realizable, 0, 0.000, 0.020, 0.036, 0.259, 0
syft_2, 075, Unrealizable, 0, 0.000, 0.032, 22.959, 0.770, 1027
syft_2, 076, Unrealizable, 0, 0.000, 0.052, 0.071, 0.256, 28
syft_2, 077, Unrealizable, 0, 0.000, 0.059, 0.080, 0.257, 61
syft_2, 078, Unrealizable, 0, 0.000, 0.053, 0.068, 0.273, 28
syft_2, 079, Realizable, 0, 0.000, 0.075, 0.085, 0.256, 0
syft_2, 080, Realizable, 0, 0.000, 0.021, 0.032, 0.257, 0
syft_2, 081, Unrealizable, 0, 0.000, 0.039, 0.371, 0.266, 163
syft_2, 082, Unrealizable, 0, 0.000, 0.056, 0.723, 0.316, 28
syft_2, 083, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_2, 084, Unrealizable, 0, 0.000, 0.060, 23.965, 0.763, 772
syft_2, 085, Unrealizable, 0, 0.000, 0.040, 28.083, 0.824, 1027
syft_2, 086, Realizable, 0, 0.000, 0.040, 0.049, 0.257, 0
syft_2, 087, Unrealizable, 0, 0.000, 0.057, 0.080, 0.257, 115
syft_2, 088, Unrealizable, 0, 0.000, 0.036, 3.924, 0.367, 515
syft_2, 089, Realizable, 0, 0.000, 0.020, 0.027, 0.256, 0
syft_2, 090, Unrealizable, 0, 0.000, 0.061, 0.083, 0.256, 23
syft_2, 091, Unrealizable, 0, 0.000, 0.055, 0.264, 0.277, 24
syft_2, 092, Unrealizable, 0, 0.000, 0.058, 2.172, 0.346, 77
syft_2, 093, Unrealizable, 0, 0.000, 0.056, 0.266, 0.264, 163
syft_2, 094, Unrealizable, 0, 0.000, 0.031, 3.970, 0.354, 515
syft_2, 095, Unrealizable, 0, 0.000, 0.052, 43.698, 1.174, 1027
syft_2, 096, Realizable, 0, 0.000, 0.041, 0.051, 0.257, 0
syft_2, 097, Unrealizable, 0, 0.000, 0.053, 0.069, 0.256, 23
syft_2, 098, Realizable, 0, 0.000, 0.024, 0.038, 0.258, 0
syft_2, 099, Realizable, 0, 0.000, 0.019, 0.026, 0.256, 0
